Date;SP500_HYB;SP_T_Bond 
2010-02-01;383,53;100
2010-02-02;383,76;100,18
2010-02-03;384;99,95
2010-02-04;383,61;99,98
2010-02-05;382,79;99,34
2010-02-08;381,75;99,37
2010-02-09;380,54;99,19
2010-02-10;378,89;99,41
2010-02-11;378,75;99,09
2010-02-12;378,88;98,72
2010-02-15;379,11;99,39
2010-02-16;379,68;99,34
2010-02-17;380,83;99,78
2010-02-18;381,79;100,1
2010-02-19;382,89;100,52
2010-02-22;384,21;100,59
2010-02-23;384,37;99,87
2010-02-24;384,59;99,64
2010-02-25;384,51;99,62
2010-02-26;385,36;99,09
2010-03-01;385,98;98,84
2010-03-02;386,59;99,25
2010-03-03;387,09;98,54
2010-03-04;387,92;98,36
2010-03-05;388,36;99,41
2010-03-08;389,77;100,1
2010-03-09;390,35;99,63
2010-03-10;390,57;99,66
2010-03-11;391,05;100
2010-03-12;391,34;100,1
2010-03-15;391,58;100,44
2010-03-16;391,7;99,84
2010-03-17;392,49;100,47
2010-03-18;392,82;100,56
2010-03-19;392,68;100,42
2010-03-22;392,73;100,28
2010-03-23;392,9;100,31
2010-03-24;392,57;100,3
2010-03-25;392,58;100,79
2010-03-26;393,08;101,06
2010-03-29;393,58;101,36
2010-03-30;393,75;100,9
2010-03-31;393,82;101,93
2010-04-01;393,78;102,62
2010-04-02;393,58;102,85
2010-04-05;393,67;102,97
2010-04-06;394,13;102,7
2010-04-07;394,66;102,4
2010-04-08;394,36;102,62
2010-04-09;394,59;102,88
2010-04-12;395,13;102,23
2010-04-13;395,66;102,4
2010-04-14;396,29;103,04
2010-04-15;396,86;102,82
2010-04-16;397,44;102,4
2010-04-19;397,16;102,1
2010-04-20;397,41;102,45
2010-04-21;397,99;102,99
2010-04-22;398,45;103,17
2010-04-23;398,74;103,5
2010-04-26;399,12;104,08
2010-04-27;399,54;103,71
2010-04-28;399,21;103,89
2010-04-29;399,64;103,3
2010-04-30;399,98;104,61
2010-05-03;400,13;105,25
2010-05-04;399,95;104,97
2010-05-05;398,39;105,68
2010-05-06;395,97;105,61
2010-05-07;392,7;104,88
2010-05-10;394,09;105,02
2010-05-11;394,18;104,91
2010-05-12;395,05;104,83
2010-05-13;395,86;104,96
2010-05-14;395,39;104,8
2010-05-17;394,7;104,86
2010-05-18;394,81;105,08
2010-05-19;393,27;104,75
2010-05-20;391,02;105,16
2010-05-21;390,54;103,97
